name,description,name,description,latitude,longitude
Lower Mohawk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn254.html"">ACP Community Profile</a>]]>",Lower Mohawk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn254.html"">ACP Community Profile</a>]]>",44.999,-74.741
M&apos;Chigeeng First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn181.html"">ACP Community Profile</a>]]>",M&apos;Chigeeng First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn181.html"">ACP Community Profile</a>]]>",45.835,-82.103
Magnetawan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn174.html"">ACP Community Profile</a>]]>",Magnetawan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn174.html"">ACP Community Profile</a>]]>",45.749,-80.461
Martin Falls,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn186.html"">ACP Community Profile</a>]]>",Martin Falls,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn186.html"">ACP Community Profile</a>]]>",51.657,-85.918
Matachewan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn219.html"">ACP Community Profile</a>]]>",Matachewan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn219.html"">ACP Community Profile</a>]]>",48.059,-80.639
Mattagami,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn226.html"">ACP Community Profile</a>]]>",Mattagami,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn226.html"">ACP Community Profile</a>]]>",47.844,-81.528
McDowell Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn326.html"">ACP Community Profile</a>]]>",McDowell Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn326.html"">ACP Community Profile</a>]]>",52.21,-92.71
Michipicoten,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn225.html"">ACP Community Profile</a>]]>",Michipicoten,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn225.html"">ACP Community Profile</a>]]>",47.991,-84.901
Mishkeegogamang,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn203.html"">ACP Community Profile</a>]]>",Mishkeegogamang,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn203.html"">ACP Community Profile</a>]]>",51.065,-90.273
Missanabie Cree,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn223.html"">ACP Community Profile</a>]]>",Missanabie Cree,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn223.html"">ACP Community Profile</a>]]>",48.311,-84.091
