name,description,latitude,longitude
Metlakatla,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn673.html"">ACP Community Profile</a>]]>",54.298,-130.418
Moricetown,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn530.html"">ACP Community Profile</a>]]>",55.037,-127.339
Mount Currie,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn557.html"">ACP Community Profile</a>]]>",50.328,-122.676
Mowachaht/Muchalaht,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn630.html"">ACP Community Profile</a>]]>",49.684,-126.121
Musqueam,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn550.html"">ACP Community Profile</a>]]>",49.229,-123.201
N&apos;Quatqua,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn556.html"">ACP Community Profile</a>]]>",50.528,-122.484
Nadleh Whuten,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn612.html"">ACP Community Profile</a>]]>",54.077,-124.601
Nak&apos;azdli,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn614.html"">ACP Community Profile</a>]]>",54.444,-124.255
Namgis First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn631.html"">ACP Community Profile</a>]]>",50.597,-126.939
Nanoose First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn649.html"">ACP Community Profile</a>]]>",49.251,-124.122
Nazko,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn720.html"">ACP Community Profile</a>]]>",52.951,-123.583
Nee-Tahi-Buhn,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn726.html"">ACP Community Profile</a>]]>",53.935,-125.671
Neskonlith,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn690.html"">ACP Community Profile</a>]]>",50.779,-119.749
New Westminster,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn566.html"">ACP Community Profile</a>]]>",49.2127,-122.9173
Nicomen,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn696.html"">ACP Community Profile</a>]]>",50.263,-121.404
Nisga&apos;a Village of Gingolx,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn671.html"">ACP Community Profile</a>]]>",54.996,-129.957
Nisga&apos;a Village of Gitwinksihlkw,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn679.html"">ACP Community Profile</a>]]>",55.193,-129.222
Nisga&apos;a Village of Laxgalt&apos;sap,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn678.html"">ACP Community Profile</a>]]>",55.035,-129.553
Nisga&apos;a Village of New Aiyansh,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn677.html"">ACP Community Profile</a>]]>",55.197,-129.071
Nooaitch,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn699.html"">ACP Community Profile</a>]]>",50.198,-121.075
Nuchatlaht,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn639.html"">ACP Community Profile</a>]]>",49.989,-126.942
Nuxalk Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn539.html"">ACP Community Profile</a>]]>",52.368,-126.759
Okanagan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn616.html"">ACP Community Profile</a>]]>",50.448,-119.353
Old Massett Village Council,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn669.html"">ACP Community Profile</a>]]>",54.043,-132.177
Oregon Jack Creek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn692.html"">ACP Community Profile</a>]]>",50.615,-121.317
Osoyoos,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn596.html"">ACP Community Profile</a>]]>",49.148,-119.506
Oweekeno/Wuikinuxv Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn541.html"">ACP Community Profile</a>]]>",51.682,-127.214
Pacheedaht First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn658.html"">ACP Community Profile</a>]]>",48.577,-124.406
Pauquachin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn652.html"">ACP Community Profile</a>]]>",48.622,-123.456
Penelakut,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn650.html"">ACP Community Profile</a>]]>",48.957,-123.644
Penticton,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn597.html"">ACP Community Profile</a>]]>",49.468,-119.673
Peters,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn586.html"">ACP Community Profile</a>]]>",49.308,-121.655
Popkum,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn585.html"">ACP Community Profile</a>]]>",49.208,-121.718
Prophet River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn544.html"">ACP Community Profile</a>]]>",58.092,-122.707
Qualicum First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn651.html"">ACP Community Profile</a>]]>",49.397,-124.614
Quatsino,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn633.html"">ACP Community Profile</a>]]>",50.614,-127.572
Red Bluff,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn715.html"">ACP Community Profile</a>]]>",52.955,-122.482
Saik&apos;uz First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn615.html"">ACP Community Profile</a>]]>",53.917,-124.167
